Analyzer,V,45,H,-45,Background,,,V_err,45_err,H_err,n45_err
0,29,322,653,347,40,,,5.385164807,17.94435844,25.55386468,18.62793601
1,40,331,638,402,37,,,6.32455532,18.1934054,25.25866188,20.04993766
2,31,364,634,353,33,,,5.567764363,19.07878403,25.17935662,18.78829423
3,36,416,629,294,37,,,6,20.39607805,25.07987241,17.1464282
4,45,399,659,245,36,,,6.708203932,19.97498436,25.67099531,15.65247584
5,67,431,660,279,36,,,8.185352772,20.76053949,25.69046516,16.70329309
6,51,471,674,238,39,,,7.141428429,21.70253441,25.96150997,15.42724862
7,78,480,647,214,25,,,8.831760866,21.9089023,25.43619468,14.62873884
8,96,450,589,204,29,,,9.797958971,21.21320344,24.2693222,14.28285686
9,114,442,598,231,40,,,10.67707825,21.02379604,24.45403852,15.19868415
10,103,494,603,227,43,,,10.14889157,22.22611077,24.55605832,15.06651917
11,126,498,548,176,33,,,11.22497216,22.3159136,23.40939982,13.26649916
12,126,556,548,140,43,,,11.22497216,23.57965225,23.40939982,11.83215957
13,157,568,543,157,35,,,12.52996409,23.83275058,23.3023604,12.52996409
14,159,549,552,135,37,,,12.60952021,23.43074903,23.49468025,11.61895004
15,189,536,527,122,35,,,13.74772708,23.15167381,22.95648057,11.04536102
16,221,546,511,94,29,,,14.86606875,23.36664289,22.60530911,9.695359715
17,204,672,459,90,31,,,14.28285686,25.92296279,21.42428529,9.486832981
18,198,597,430,89,31,,,14.07124728,24.43358345,20.73644135,9.433981132
19,243,541,441,75,28,,,15.58845727,23.2594067,21,8.660254038
20,274,619,458,73,41,,,16.55294536,24.87971061,21.40093456,8.544003745
21,284,680,354,70,28,,,16.85229955,26.07680962,18.81488772,8.366600265
22,316,723,392,72,38,,,17.77638883,26.88865932,19.79898987,8.485281374
23,380,593,322,57,42,,,19.49358869,24.35159132,17.94435844,7.549834435
24,418,613,339,53,38,,,20.4450483,24.75883681,18.41195264,7.280109889
25,387,616,326,78,48,,,19.67231557,24.81934729,18.05547009,8.831760866
26,391,626,328,48,31,,,19.77371993,25.01999201,18.11077028,6.92820323
27,419,633,247,63,31,,,20.46948949,25.15949125,15.71623365,7.937253933
28,476,586,254,68,32,,,21.81742423,24.20743687,15.93737745,8.246211251
29,476,561,227,62,39,,,21.81742423,23.68543856,15.06651917,7.874007874
30,455,564,217,65,44,,,21.33072901,23.74868417,14.73091986,8.062257748
31,507,661,195,77,36,,,22.5166605,25.70992026,13.96424004,8.774964387
32,516,631,196,105,35,,,22.71563338,25.11971337,14,10.24695077
33,555,574,168,134,37,,,23.55843798,23.9582971,12.9614814,11.5758369
34,583,471,158,109,31,,,24.14539294,21.70253441,12.56980509,10.44030651
35,568,561,123,169,26,,,23.83275058,23.68543856,11.09053651,13
36,652,563,123,137,37,,,25.53429067,23.72762104,11.09053651,11.70469991
37,660,512,95,139,46,,,25.69046516,22.627417,9.746794345,11.78982612
38,606,489,64,183,37,,,24.61706725,22.11334439,8,13.52774926
39,649,452,71,186,40,,,25.47547841,21.26029163,8.426149773,13.6381817
40,620,458,59,210,37,,,24.8997992,21.40093456,7.681145748,14.49137675
41,672,470,42,220,33,,,25.92296279,21.67948339,6.480740698,14.83239697
42,673,423,46,228,39,,,25.94224354,20.5669638,6.782329983,15.09966887
43,596,384,43,244,42,,,24.41311123,19.59591794,6.557438524,15.62049935
44,682,428,29,275,34,,,26.11512971,20.68816087,5.385164807,16.58312395
45,604,322,36,301,22,,,24.57641145,17.94435844,6,17.34935157
46,678,318,38,356,32,,,26.03843313,17.8325545,6.164414003,18.86796226
47,745,274,25,334,28,,,27.29468813,16.55294536,5,18.27566688
48,609,276,51,387,30,,,24.67792536,16.61324773,7.141428429,19.67231557
49,645,245,45,389,29,,,25.3968502,15.65247584,6.708203932,19.72308292
50,682,260,63,398,26,,,26.11512971,16.1245155,7.937253933,19.94993734
51,759,272,49,415,38,,,27.54995463,16.4924225,7,20.37154879
52,624,231,65,484,37,,,24.97999199,15.19868415,8.062257748,22
53,617,216,73,448,27,,,24.8394847,14.69693846,8.544003745,21.16601049
54,607,214,80,441,34,,,24.63736999,14.62873884,8.94427191,21
55,680,156,123,586,45,,,26.07680962,12.489996,11.09053651,24.20743687
56,625,158,113,533,26,,,25,12.56980509,10.63014581,23.08679276
57,577,149,117,529,25,,,24.0208243,12.20655562,10.81665383,23
58,607,144,125,523,34,,,24.63736999,12,11.18033989,22.86919325
59,527,139,136,545,43,,,22.95648057,11.78982612,11.66190379,23.34523506
60,545,109,177,573,40,,,23.34523506,10.44030651,13.3041347,23.93741841
61,549,100,172,536,28,,,23.43074903,10,13.11487705,23.15167381
62,520,93,176,536,26,,,22.8035085,9.643650761,13.26649916,23.15167381
63,492,80,220,597,30,,,22.18107301,8.94427191,14.83239697,24.43358345
64,455,80,235,639,20,,,21.33072901,8.94427191,15.32970972,25.27844932
65,468,70,263,653,46,,,21.63330765,8.366600265,16.21727474,25.55386468
66,395,56,282,634,33,,,19.87460691,7.483314774,16.79285562,25.17935662
67,389,74,330,611,32,,,19.72308292,8.602325267,18.16590212,24.71841419
68,357,70,362,545,30,,,18.89444363,8.366600265,19.02629759,23.34523506
69,282,75,322,625,28,,,16.79285562,8.660254038,17.94435844,25
70,289,75,397,654,48,,,17,8.660254038,19.92485885,25.57342371
71,317,76,365,609,19,,,17.80449381,8.717797887,19.10497317,24.67792536
72,308,96,438,647,31,,,17.54992877,9.797958971,20.92844954,25.43619468
73,229,75,444,634,43,,,15.13274595,8.660254038,21.07130751,25.17935662
74,223,103,478,599,26,,,14.93318452,10.14889157,21.86321111,24.4744765
75,200,105,532,588,39,,,14.14213562,10.24695077,23.06512519,24.24871131
76,157,105,437,527,32,,,12.52996409,10.24695077,20.90454496,22.95648057
77,175,114,546,514,27,,,13.22875656,10.67707825,23.36664289,22.6715681
78,182,131,498,591,28,,,13.49073756,11.44552314,22.3159136,24.31049156
79,128,143,538,542,20,,,11.3137085,11.95826074,23.19482701,23.28089345
80,134,157,563,544,31,,,11.5758369,12.52996409,23.72762104,23.32380758
81,101,171,616,519,46,,,10.04987562,13.07669683,24.81934729,22.7815715
82,106,210,594,560,42,,,10.29563014,14.49137675,24.37211521,23.66431913
83,57,202,564,491,26,,,7.549834435,14.2126704,23.74868417,22.15851981
84,75,253,695,468,32,,,8.660254038,15.90597372,26.36285265,21.63330765
85,75,265,648,508,29,,,8.660254038,16.2788206,25.45584412,22.53885534
86,39,295,655,475,29,,,6.244997998,17.17556404,25.59296778,21.79449472
87,46,297,628,396,36,,,6.782329983,17.23368794,25.05992817,19.89974874
88,44,263,702,462,39,,,6.633249581,16.21727474,26.4952826,21.49418526
89,39,293,671,417,24,,,6.244997998,17.11724277,25.90366769,20.42057786
90,43,340,690,375,40,,,6.557438524,18.43908891,26.26785107,19.36491673
91,29,404,606,355,25,,,5.385164807,20.09975124,24.61706725,18.84144368
92,30,346,660,310,29,,,5.477225575,18.60107524,25.69046516,17.60681686
93,39,428,647,325,33,,,6.244997998,20.68816087,25.43619468,18.02775638
94,46,382,695,278,23,,,6.782329983,19.54482029,26.36285265,16.673332
95,48,419,626,284,39,,,6.92820323,20.46948949,25.01999201,16.85229955
96,70,426,675,227,41,,,8.366600265,20.63976744,25.98076211,15.06651917
97,53,489,635,234,46,,,7.280109889,22.11334439,25.19920634,15.29705854
98,105,483,662,200,38,,,10.24695077,21.97726098,25.72936066,14.14213562
99,74,498,598,211,33,,,8.602325267,22.3159136,24.45403852,14.52583905
100,111,501,612,146,35,,,10.53565375,22.38302929,24.73863375,12.08304597
101,98,521,655,161,40,,,9.899494937,22.82542442,25.59296778,12.68857754
102,138,546,589,141,25,,,11.74734012,23.36664289,24.2693222,11.87434209
103,145,490,576,125,34,,,12.04159458,22.13594362,24,11.18033989
104,144,544,527,123,36,,,12,23.32380758,22.95648057,11.09053651
105,199,581,523,119,31,,,14.10673598,24.10394159,22.86919325,10.90871211
106,195,578,488,141,38,,,13.96424004,24.04163056,22.09072203,11.87434209
107,210,610,488,101,23,,,14.49137675,24.69817807,22.09072203,10.04987562
108,243,612,495,88,33,,,15.58845727,24.73863375,22.24859546,9.38083152
109,219,681,486,86,32,,,14.79864859,26.0959767,22.04540769,9.273618495
110,306,622,466,92,43,,,17.49285568,24.93992783,21.58703314,9.591663047
111,320,587,381,53,40,,,17.88854382,24.22808288,19.5192213,7.280109889
112,360,656,396,60,47,,,18.97366596,25.61249695,19.89974874,7.745966692
113,365,654,372,61,28,,,19.10497317,25.57342371,19.28730152,7.810249676
114,378,633,382,77,46,,,19.4422221,25.15949125,19.54482029,8.774964387
115,404,646,370,55,54,,,20.09975124,25.41653005,19.23538406,7.416198487
116,401,669,270,75,45,,,20.02498439,25.86503431,16.43167673,8.660254038
117,448,688,294,80,25,,,21.16601049,26.2297541,17.1464282,8.94427191
118,437,579,241,108,41,,,20.90454496,24.06241883,15.5241747,10.39230485
119,485,540,240,100,38,,,22.02271555,23.23790008,15.49193338,10
120,488,584,180,78,35,,,22.09072203,24.16609195,13.41640786,8.831760866
